human_gene_symbols,dmel_gene_id,dmel_gene_symbol,cell_type_id,cell_type_name,max_spread,max_mean_expression,supporting_rows,within_gene_rank
GPX1,FBgn0034415,Gpxl,FBbt:00047095,adult neuron,0.027174,909.4154,17,2
GPX1,FBgn0034415,Gpxl,FBbt:00047767,leg taste bristle chemosensory neuron,0.020202,1116.48015,4,3
GPX1,FBgn0034415,Gpxl,FBbt:00049568,leg muscle motor neuron,0.013699,447.92413,4,4
GPX1,FBgn0034415,Gpxl,FBbt:00058247,adult pheromone-sensing neuron,0.012987,497.26505,10,5
GPX1,FBgn0035438,Gtpx,FBbt:00110925,Hugin neuron,0.882353,286.889663,1,1
GPX1,FBgn0035438,Gtpx,FBbt:00048313,ITP neuron,0.857143,345.395959,1,2
GPX1,FBgn0035438,Gtpx,FBbt:00003629,DN1 neuron,0.84,398.038964,1,3
GPX1,FBgn0035438,Gtpx,FBbt:00004046,LNv neuron,0.771429,219.332609,1,4
GPX1,FBgn0035438,Gtpx,FBbt:00048900,lineage 15 secondary neuron,0.760563,602.821735,1,5
GIGYF2,FBgn0039936,Gyf,FBbt:00049568,leg muscle motor neuron,0.837838,937.012519,16,1
GIGYF2,FBgn0039936,Gyf,FBbt:00048313,ITP neuron,0.714286,176.185007,1,2
GIGYF2,FBgn0039936,Gyf,FBbt:00058267,adult pericerebral fat cell,0.69378,1035.445638,7,3
GIGYF2,FBgn0039936,Gyf,FBbt:00058251,adult perineurial glial cell,0.666667,1396.106926,18,4
GIGYF2,FBgn0039936,Gyf,FBbt:00058143,adult hemocyte,0.655814,1029.945262,7,5
KCNJ13,FBgn0039081,Irk2,FBbt:00100504,adult ensheathing glial cell,0.632573,2469.435145,17,1
KCNJ13,FBgn0039081,Irk2,FBbt:00100497,adult glial cell,0.609541,2547.295769,24,2
KCNJ13,FBgn0039081,Irk2,FBbt:00100501,adult brain cell body glial cell,0.553922,1427.399755,20,3
KCNJ13,FBgn0039081,Irk2,FBbt:00047841,adult astrocyte-like glial cell,0.4903,2209.4961,34,4
KCNJ13,FBgn0039081,Irk2,FBbt:00059270,adult cell body glial cell,0.427536,1489.273142,10,5
KCNJ13,FBgn0032706,Irk3,FBbt:00100525,adult optic chiasma glial cell,0.731343,3166.964958,17,1
KCNJ13,FBgn0032706,Irk3,FBbt:00100501,adult brain cell body glial cell,0.514706,1173.4964,20,2
KCNJ13,FBgn0032706,Irk3,FBbt:00100504,adult ensheathing glial cell,0.387097,1440.910413,17,3
KCNJ13,FBgn0032706,Irk3,FBbt:00100497,adult glial cell,0.300654,1939.8641,20,4
KCNJ13,FBgn0032706,Irk3,FBbt:00003833,proximal medullary amacrine neuron Pm1,0.208333,388.256444,1,5
KDM4A,FBgn0033233,Kdm4A,FBbt:00048313,ITP neuron,0.190476,45.585805,1,1
KDM4A,FBgn0033233,Kdm4A,FBbt:00057009,head cyst cell,0.175613,178.806143,4,2
KDM4A,FBgn0033233,Kdm4A,FBbt:00004211,photoreceptor neuron,0.15,600.177646,23,3
